"GAME_ID","DATE","IS_REGULAR_SEASON","TEAM_ID","TEAM_ABBREVIATION","AT_HOME","OPPONENT_TEAM_ID","OPPONENT_TEAM_ABBREVIATION","SEASON"
"0021600423","2016-12-20","1","1610612749","MIL","1","1610612739","CLE","2016-17"
"0021600429","2016-12-21","1","1610612749","MIL","0","1610612739","CLE","2016-17"
"0021600447","2016-12-23","1","1610612749","MIL","1","1610612764","WAS","2016-17"
"0021600461","2016-12-26","1","1610612749","MIL","0","1610612764","WAS","2016-17"
"0021600479","2016-12-28","1","1610612749","MIL","0","1610612765","DET","2016-17"
"0021600497","2016-12-30","1","1610612749","MIL","0","1610612750","MIN","2016-17"
"0021600503","2016-12-31","1","1610612749","MIL","0","1610612741","CHI","2016-17"
"0021600513","2017-01-02","1","1610612749","MIL","1","1610612760","OKC","2016-17"
"0021600531","2017-01-04","1","1610612749","MIL","0","1610612752","NYK","2016-17"
"0021600548","2017-01-06","1","1610612749","MIL","1","1610612752","NYK","2016-17"
"0021600562","2017-01-08","1","1610612749","MIL","1","1610612764","WAS","2016-17"
"0021600575","2017-01-10","1","1610612749","MIL","0","1610612759","SAS","2016-17"
"0021600594","2017-01-13","1","1610612749","MIL","1","1610612748","MIA","2016-17"
"0021600607","2017-01-15","1","1610612749","MIL","0","1610612737","ATL","2016-17"
"0021600615","2017-01-16","1","1610612749","MIL","1","1610612755","PHI","2016-17"
"0021600632","2017-01-18","1","1610612749","MIL","0","1610612745","HOU","2016-17"
"0021600643","2017-01-20","1","1610612749","MIL","0","1610612753","ORL","2016-17"
"0021600655","2017-01-21","1","1610612749","MIL","0","1610612748","MIA","2016-17"
"0021600670","2017-01-23","1","1610612749","MIL","1","1610612745","HOU","2016-17"
"0021600684","2017-01-25","1","1610612749","MIL","1","1610612755","PHI","2016-17"
"0021600698","2017-01-27","1","1610612749","MIL","0","1610612761","TOR","2016-17"
"0021600706","2017-01-28","1","1610612749","MIL","1","1610612738","BOS","2016-17"
"0021600738","2017-02-01","1","1610612749","MIL","0","1610612762","UTA","2016-17"
"0021600752","2017-02-03","1","1610612749","MIL","0","1610612743","DEN","2016-17"
"0021600761","2017-02-04","1","1610612749","MIL","0","1610612756","PHX","2016-17"
"0021600787","2017-02-08","1","1610612749","MIL","1","1610612748","MIA","2016-17"
"0021600802","2017-02-10","1","1610612749","MIL","1","1610612747","LAL","2016-17"
"0021600809","2017-02-11","1","1610612749","MIL","0","1610612754","IND","2016-17"
"0021600824","2017-02-13","1","1610612749","MIL","1","1610612765","DET","2016-17"
"0021600838","2017-02-15","1","1610612749","MIL","0","1610612751","BKN","2016-17"
"0021600860","2017-02-24","1","1610612749","MIL","1","1610612762","UTA","2016-17"
"0021600875","2017-02-26","1","1610612749","MIL","1","1610612756","PHX","2016-17"
"0021600884","2017-02-27","1","1610612749","MIL","0","1610612739","CLE","2016-17"
"0021600899","2017-03-01","1","1610612749","MIL","1","1610612743","DEN","2016-17"
"0021600912","2017-03-03","1","1610612749","MIL","1","1610612746","LAC","2016-17"
"0021600920","2017-03-04","1","1610612749","MIL","1","1610612761","TOR","2016-17"
"0021600934","2017-03-06","1","1610612749","MIL","0","1610612755","PHI","2016-17"
"0021600952","2017-03-08","1","1610612749","MIL","1","1610612752","NYK","2016-17"
"0021600967","2017-03-10","1","1610612749","MIL","1","1610612754","IND","2016-17"
"0021600978","2017-03-11","1","1610612749","MIL","1","1610612750","MIN","2016-17"
"0021600993","2017-03-13","1","1610612749","MIL","0","1610612763","MEM","2016-17"
