"second","TerrenceJones","RashadVaughn","MalcolmBrogdon","SpencerHawes","TonySnell","GiannisAntetokounmpo","KhrisMiddleton","MirzaTeletovic","JasonTerry","MatthewDellavedova","GregMonroe","ThonMaker","JohnHenson","AxelToupane","MichaelBeasley","JabariParker","MilesPlumlee","SteveNovak"
2299,0,12,54,1,6,37,12,38,56,21,50,2,13,0,32,20,1,0
2300,0,12,54,1,6,37,12,38,56,21,50,2,13,0,32,20,1,0
2301,0,12,54,1,6,38,12,38,56,21,50,2,12,0,32,20,1,0
2302,0,12,54,1,6,38,12,38,56,21,50,2,12,0,32,20,1,0
2303,0,12,54,1,6,38,12,38,56,21,50,2,12,0,32,20,1,0
2304,0,12,54,1,6,38,12,38,56,21,50,2,12,0,32,20,1,0
2305,0,12,53,1,7,38,12,38,55,22,50,2,12,0,32,20,1,0
2306,0,12,53,1,7,38,12,38,55,22,50,2,12,0,32,20,1,0
2307,0,12,53,1,7,38,12,38,55,22,50,2,12,0,32,20,1,0
2308,0,12,53,1,7,38,12,38,55,22,50,2,12,0,32,20,1,0
2309,0,12,53,1,7,38,12,38,55,22,50,2,12,0,32,20,1,0
2310,0,12,53,1,7,38,12,38,55,22,50,2,12,0,32,20,1,0
2311,0,12,53,1,7,38,12,38,54,23,50,2,12,0,32,20,1,0
2312,0,12,53,1,7,39,12,37,54,23,50,2,12,0,32,20,1,0
2313,0,12,53,1,7,39,12,36,54,23,50,3,12,0,31,21,1,0
2314,0,12,53,1,8,39,12,36,54,23,50,3,12,0,30,21,1,0
2315,0,12,53,1,8,40,12,36,54,23,49,3,12,0,30,21,1,0
2316,0,12,53,1,8,40,12,36,54,23,49,3,12,0,30,21,1,0
2317,0,12,53,1,8,40,12,36,54,23,49,3,12,0,30,21,1,0
2318,0,12,53,1,8,40,12,36,54,23,49,3,12,0,30,21,1,0
2319,0,12,52,1,8,40,12,36,54,23,49,3,12,0,30,22,1,0
2320,0,12,52,1,8,40,12,36,54,23,49,3,12,0,30,22,1,0
2321,0,12,52,1,8,40,12,36,54,23,49,3,12,0,30,22,1,0
2322,0,12,52,1,8,40,12,36,54,23,49,3,12,0,30,22,1,0
2323,0,12,52,1,8,40,12,36,54,23,49,3,12,0,30,22,1,0
2324,0,12,52,1,8,40,12,36,54,23,49,3,12,0,30,22,1,0
2325,0,12,52,1,8,40,12,36,54,23,49,3,12,0,30,22,1,0
2326,0,12,52,2,8,40,12,36,54,23,48,3,12,0,30,22,1,0
2327,0,12,52,2,9,40,12,36,54,23,48,3,12,0,29,22,1,0
2328,0,12,52,2,9,41,12,36,53,23,48,3,12,0,29,22,1,0
2329,0,12,52,2,9,41,12,36,53,23,48,3,12,0,29,22,1,0
2330,0,12,52,2,9,41,12,36,53,23,48,3,12,0,29,22,1,0
2331,0,12,52,2,9,41,12,36,53,23,48,3,12,0,29,22,1,0
2332,0,12,52,2,9,41,12,36,53,23,48,3,12,0,29,22,1,0
2333,0,12,52,2,9,41,12,36,53,23,47,3,12,0,29,23,1,0
2334,0,12,52,2,9,41,12,36,53,23,46,4,12,0,29,23,1,0
2335,0,12,51,2,9,41,12,37,53,23,46,4,12,0,29,23,1,0
2336,0,12,51,2,9,42,12,37,53,24,45,4,12,0,28,23,1,0
2337,0,12,51,2,9,42,12,37,53,24,45,4,12,0,28,23,1,0
2338,0,12,51,2,9,42,12,37,53,25,44,4,12,0,28,23,1,0
2339,0,12,51,2,9,42,12,37,53,25,44,4,12,0,28,23,1,0
2340,0,12,51,2,9,42,12,37,53,25,44,4,12,0,28,23,1,0
2341,0,12,50,2,9,43,12,37,52,25,45,4,12,0,28,23,1,0
